Channel Name,Channel ID,YouTube URL,Theme,Tags,Favorite,Classification Basis,Needs Review
Benabdessadak Al Riffi | ابن عبدالصادق الريفي,UC7eRHu5PtfS14-5m1ZSYMDw,https://www.youtube.com/channel/UC7eRHu5PtfS14-5m1ZSYMDw,Books & Literature,Books; Reading,Yes,Inferred from the previous PocketTube collection,No
Benjamin McEvoy,UCJPpE22GR3Tt8TJQmFtQjwQ,https://www.youtube.com/channel/UCJPpE22GR3Tt8TJQmFtQjwQ,Books & Literature,Books; Reading; History,Yes,"Inferred from channel name, recent video titles, and collection context",No
Beth 🫐,UCbGoeTNCEMX7iOqMJELKG6g,https://www.youtube.com/channel/UCbGoeTNCEMX7iOqMJELKG6g,Books & Literature,,No,Inferred from the previous PocketTube collection,No
Billie Cook,UCq-5lvqusz8fag53Msgodjw,https://www.youtube.com/channel/UCq-5lvqusz8fag53Msgodjw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Biologist Bibliophile,UCDiqVowVS6vUhSx6KrCQkpg,https://www.youtube.com/channel/UCDiqVowVS6vUhSx6KrCQkpg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Bookaffe | كتب بوكافية,UCMn33VtiAotx4Bo3sF6t_ig,https://www.youtube.com/channel/UCMn33VtiAotx4Bo3sF6t_ig,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Books Friends (‫أصدقاء الكتب‬‎),UCwn-J3kp1C_3o1X_VbAWa2w,https://www.youtube.com/channel/UCwn-J3kp1C_3o1X_VbAWa2w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Brent Stryker Talks a Lot,UCU08GOCa2wdsDGHJ7rkLytA,https://www.youtube.com/channel/UCU08GOCa2wdsDGHJ7rkLytA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
caitlyn,UCREkfDpwAeqxPXxlqw6ub-w,https://www.youtube.com/channel/UCREkfDpwAeqxPXxlqw6ub-w,Books & Literature,,No,Inferred from the previous PocketTube collection,No
CarolynMarieReads,UCKX6WkAuxHx-BVhyGZqnyIw,https://www.youtube.com/channel/UCKX6WkAuxHx-BVhyGZqnyIw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
celine | bookishwithb,UCY8lrSJ7wQMJqxM353T5-rA,https://www.youtube.com/channel/UCY8lrSJ7wQMJqxM353T5-rA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Charlotte Fraza,UCJCR3IMdS5zHNh1OAQd7vMg,https://www.youtube.com/channel/UCJCR3IMdS5zHNh1OAQd7vMg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Cinzia's Footnotes,UCNl7uVQHu6B0bSAezDZKGpg,https://www.youtube.com/channel/UCNl7uVQHu6B0bSAezDZKGpg,Books & Literature,Books; Reading,Yes,Inferred from the previous PocketTube collection,No
Connie Ramos,UCVeIGowWULK7zZCwqTiAZFg,https://www.youtube.com/channel/UCVeIGowWULK7zZCwqTiAZFg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Cosmos Littéraire,UCN9APwwEnOYeC7261LRzOVA,https://www.youtube.com/channel/UCN9APwwEnOYeC7261LRzOVA,Books & Literature,,No,Inferred from the previous PocketTube collection,No
CriminOlly,UC3516zdH-XqACeusCHCVk8w,https://www.youtube.com/channel/UC3516zdH-XqACeusCHCVk8w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Curiosity_plus,UCJDejxwL5nutBS93GnxDI1w,https://www.youtube.com/channel/UCJDejxwL5nutBS93GnxDI1w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Daniel Greene,UCw--xPGVVxYzRsWyV1nFqgg,https://www.youtube.com/channel/UCw--xPGVVxYzRsWyV1nFqgg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Dareen Reads | Vlogs | Narrates,UCusDWEzpbkUpDdkrTLwTZYg,https://www.youtube.com/channel/UCusDWEzpbkUpDdkrTLwTZYg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Destina,UCk2uK3jPlliD6_JCAUb4myw,https://www.youtube.com/channel/UCk2uK3jPlliD6_JCAUb4myw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Destiny Sidwell,UCMZuj6FSp3BBw5SLTTePHfA,https://www.youtube.com/channel/UCMZuj6FSp3BBw5SLTTePHfA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
DPedia | دروس بـيديا,UCID0yUA1KQlusNn7FV6Jzsw,https://www.youtube.com/channel/UCID0yUA1KQlusNn7FV6Jzsw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Dr Sayed Gouda - Lectures,UCSdLquH_RQur48kBoCqJt5A,https://www.youtube.com/channel/UCSdLquH_RQur48kBoCqJt5A,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Eileen's Behind The Scenes,UCiawdrMph40A2gvOkpyYSxg,https://www.youtube.com/channel/UCiawdrMph40A2gvOkpyYSxg,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Eithar Al-dibs,UCwoW5Kv5O6M2r7sLO1J5RYA,https://www.youtube.com/channel/UCwoW5Kv5O6M2r7sLO1J5RYA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
El Zatoona - الزتونة,UCPnXSD5IUw3YdhUy5emn_qg,https://www.youtube.com/channel/UCPnXSD5IUw3YdhUy5emn_qg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Emily Clarice Pessoa,UCNY-Nyc7ljVV4PTIOvvQkPw,https://www.youtube.com/channel/UCNY-Nyc7ljVV4PTIOvvQkPw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Episteuphoria ابستفوريا,UCid1M52PVjz0qD0wHx1FsOQ,https://www.youtube.com/channel/UCid1M52PVjz0qD0wHx1FsOQ,Books & Literature,Books; Reading; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
Eslam Adel - إسلام عادل,UCPFgGJZ46OzR4JPnzLC1JfQ,https://www.youtube.com/channel/UCPFgGJZ46OzR4JPnzLC1JfQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
fahad aafet,UCMmD9bcMmA-1ibYZA134Jag,https://www.youtube.com/channel/UCMmD9bcMmA-1ibYZA134Jag,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Great Books Prof,UCIfO5AQxT9a0yzOVaPSx-VA,https://www.youtube.com/channel/UCIfO5AQxT9a0yzOVaPSx-VA,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Haley Pham,UC7szm7Z-YOF_HiFSY7KtYGw,https://www.youtube.com/channel/UC7szm7Z-YOF_HiFSY7KtYGw,Books & Literature,Books; Reading; Writing,Yes,"Inferred from channel name, recent video titles, and collection context",No
Hannah Janelle,UCRIOBU3ZasRiqHiCHxox9Zg,https://www.youtube.com/channel/UCRIOBU3ZasRiqHiCHxox9Zg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Hannah Wijnen,UCdUaYsvcV_AvJYmAQ6Key0w,https://www.youtube.com/channel/UCdUaYsvcV_AvJYmAQ6Key0w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Ian Gubeli,UCN-JYa0sNXJ0osjqO--Dzcw,https://www.youtube.com/channel/UCN-JYa0sNXJ0osjqO--Dzcw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
isa's corner,UC6_Oz6EGpFTPTrNc9AUfH0A,https://www.youtube.com/channel/UC6_Oz6EGpFTPTrNc9AUfH0A,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Issa Hen,UCPG4wuRi7HLJO1GE_1Qsjrw,https://www.youtube.com/channel/UCPG4wuRi7HLJO1GE_1Qsjrw,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Jack Edwards,UCBj244LMgn9I1JfPNeLMyew,https://www.youtube.com/channel/UCBj244LMgn9I1JfPNeLMyew,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
jared,UC_EfRVbwrU-0dd-jpZn-gYw,https://www.youtube.com/channel/UC_EfRVbwrU-0dd-jpZn-gYw,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Jared Henderson,UC2Kyj04yISmHr1V-UlJz4eg,https://www.youtube.com/channel/UC2Kyj04yISmHr1V-UlJz4eg,Books & Literature,Books; Reading; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
Joseph Reads Books,UCL7cErNo3HhIWzd2yJxqz3w,https://www.youtube.com/channel/UCL7cErNo3HhIWzd2yJxqz3w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Kc Is Reading,UCH98nui1iKytLitZwBt_TYQ,https://www.youtube.com/channel/UCH98nui1iKytLitZwBt_TYQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Lady of the Library,UCRyUuHHvQesy1w3sQX-g4bA,https://www.youtube.com/channel/UCRyUuHHvQesy1w3sQX-g4bA,Books & Literature,Books; Reading; History; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
Laura Rae Says,UCaVRBLbdyewEuTXKYJAMoaQ,https://www.youtube.com/channel/UCaVRBLbdyewEuTXKYJAMoaQ,Books & Literature,,No,Inferred from the previous PocketTube collection,No
Listen To Meriem \ استمع إلى مريم,UCLbjbOXzl7zpGdTOuZkj6wQ,https://www.youtube.com/channel/UCLbjbOXzl7zpGdTOuZkj6wQ,Books & Literature,Books; Reading; Writing,Yes,"Inferred from channel name, recent video titles, and collection context",No
Literary Devices,UCaWskZp8_1mSYU64015Corw,https://www.youtube.com/channel/UCaWskZp8_1mSYU64015Corw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Mahmoud Abdlmotaleb,UCsUFBXqhWxPNIFWQRbMtxFA,https://www.youtube.com/channel/UCsUFBXqhWxPNIFWQRbMtxFA,Books & Literature,,No,Inferred from the previous PocketTube collection,No
Matthew Schaefer,UCIs212xFtCExPXZ-rST2V7A,https://www.youtube.com/channel/UCIs212xFtCExPXZ-rST2V7A,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Merphy Napier | Books,UCngqsMYjruusuywWg_2xraA,https://www.youtube.com/channel/UCngqsMYjruusuywWg_2xraA,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
mohamed elmouktadiمحمد المقتدي,UCYyI-oMj0sD6ttoU7pDRyYw,https://www.youtube.com/channel/UCYyI-oMj0sD6ttoU7pDRyYw,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
mrym,UCXWQWHqQgMWrhqHyGaG6wGA,https://www.youtube.com/channel/UCXWQWHqQgMWrhqHyGaG6wGA,Books & Literature,Books; Reading; Writing,Yes,"Inferred from channel name, recent video titles, and collection context",No
MS Geaming,UCmv_Mxn4LJHtl4skKw_b--g,https://www.youtube.com/channel/UCmv_Mxn4LJHtl4skKw_b--g,Books & Literature,,No,Inferred from the previous PocketTube collection,No
N_artist_U,UCRcwlN8oKfSKzCAOYzQO1KA,https://www.youtube.com/channel/UCRcwlN8oKfSKzCAOYzQO1KA,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Nada Arafat,UCYzXGSv4SjhYeB5BUUvmsbw,https://www.youtube.com/channel/UCYzXGSv4SjhYeB5BUUvmsbw,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Nada Majdy,UCBg7Zar6U-kV0yDKvc5GMWw,https://www.youtube.com/channel/UCBg7Zar6U-kV0yDKvc5GMWw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Nedal Reads,UCvlSbvZqQz1s3MlCMQifYYg,https://www.youtube.com/channel/UCvlSbvZqQz1s3MlCMQifYYg,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Noa Maria,UCyduPThDUN_UkQLybZDsFOQ,https://www.youtube.com/channel/UCyduPThDUN_UkQLybZDsFOQ,Books & Literature,,No,Inferred from the previous PocketTube collection,No
Nota - نوته,UCaZaVAgcrzkqiUhOwGK4TSQ,https://www.youtube.com/channel/UCaZaVAgcrzkqiUhOwGK4TSQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Odysseas,UCQjBsscIa_mgEnSvWpm_9vw,https://www.youtube.com/channel/UCQjBsscIa_mgEnSvWpm_9vw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
One Man Book Club,UC3-ewHp_BGq7pQWwx3TYcqQ,https://www.youtube.com/channel/UC3-ewHp_BGq7pQWwx3TYcqQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
PDF ورق ولا,UCTYeormqOybqEGLQ7VOW3bw,https://www.youtube.com/channel/UCTYeormqOybqEGLQ7VOW3bw,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Petra Publications,UCNcQC6V7CidbZf2apnL2WKg,https://www.youtube.com/channel/UCNcQC6V7CidbZf2apnL2WKg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Plant Based Bride,UClHoWkjm4Ky5K0J2tHnf21Q,https://www.youtube.com/channel/UClHoWkjm4Ky5K0J2tHnf21Q,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
PossessedbyHorror,UC-exz3M1efabysAyd90ekNQ,https://www.youtube.com/channel/UC-exz3M1efabysAyd90ekNQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Prose & Petticoats,UCEqQ2Z3s40ew6FAE4QwRpXA,https://www.youtube.com/channel/UCEqQ2Z3s40ew6FAE4QwRpXA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
raya,UCXF5ImZ6P-eFVfBXJxHMy9w,https://www.youtube.com/channel/UCXF5ImZ6P-eFVfBXJxHMy9w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
ReadTube - جيل يقرأ,UCu1NJiJlhrhmF5ZgT-0yWdA,https://www.youtube.com/channel/UCu1NJiJlhrhmF5ZgT-0yWdA,Books & Literature,Books; Reading; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
Reysu,UCbDmEdLs-SB3FjrDFQJ4TDg,https://www.youtube.com/channel/UCbDmEdLs-SB3FjrDFQJ4TDg,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
RIWAYA,UC1IsTmJIWzOLThy7cWJAxFQ,https://www.youtube.com/channel/UC1IsTmJIWzOLThy7cWJAxFQ,Books & Literature,Books; Reading; History,Yes,"Inferred from channel name, recent video titles, and collection context",No
Robin Waldun,UCafEZMU5s8geb9oIly6xTrg,https://www.youtube.com/channel/UCafEZMU5s8geb9oIly6xTrg,Books & Literature,Books; Reading; Writing,Yes,"Inferred from channel name, recent video titles, and collection context",No
rose akum,UCBmL8mPXS49sVufuWgso14Q,https://www.youtube.com/channel/UCBmL8mPXS49sVufuWgso14Q,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
SAY YOUR WORD / ELIF SHAFAK,UCzA8EM_5RVoaHe15ELC4f2w,https://www.youtube.com/channel/UCzA8EM_5RVoaHe15ELC4f2w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Serial Reader/ Liseuse en série,UC-hcFFIYllTdGtNOQ3js8pQ,https://www.youtube.com/channel/UC-hcFFIYllTdGtNOQ3js8pQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Shelly Swearingen,UCk-jilp_VucStY1kA8W1JtA,https://www.youtube.com/channel/UCk-jilp_VucStY1kA8W1JtA,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
Stefan Svartling,UC2sLD8A_C5NObxCodTeIfiA,https://www.youtube.com/channel/UC2sLD8A_C5NObxCodTeIfiA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Storytel ستوريتل,UC0Mq7z9I31Aof-WpO4B7LeQ,https://www.youtube.com/channel/UC0Mq7z9I31Aof-WpO4B7LeQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Strange Lucidity,UC-OIDSTAa-RISNwrlg8P3UQ,https://www.youtube.com/channel/UC-OIDSTAa-RISNwrlg8P3UQ,Books & Literature,Books; Reading; Writing,Yes,"Inferred from channel name, recent video titles, and collection context",No
Tarek Osman طارق عثمان,UCj8P3WuqQN_NnuC8igAAiNw,https://www.youtube.com/channel/UCj8P3WuqQN_NnuC8igAAiNw,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
The Book Leo,UCkSMDOtrKr43OGSSmKnx6tQ,https://www.youtube.com/channel/UCkSMDOtrKr43OGSSmKnx6tQ,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
The eBook Reader,UCNvW5N_t9Umw8-KVBsNxFaw,https://www.youtube.com/channel/UCNvW5N_t9Umw8-KVBsNxFaw,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
The Foxed Page,UCy1kybrzMX28nMTsTe6iAlw,https://www.youtube.com/channel/UCy1kybrzMX28nMTsTe6iAlw,Books & Literature,,No,Inferred from the previous PocketTube collection,No
The Novelist - الروائي,UCT1net5w6ic_GXNelRfq-Bg,https://www.youtube.com/channel/UCT1net5w6ic_GXNelRfq-Bg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
the reader,UCKss37YDDPxiNrN7Gucyvjg,https://www.youtube.com/channel/UCKss37YDDPxiNrN7Gucyvjg,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
The Reading Unicorn,UCFwY76CtXHrkfm_e9dBq4PQ,https://www.youtube.com/channel/UCFwY76CtXHrkfm_e9dBq4PQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
TheAlgerianTalker,UCP35x_NL2vkh7PNUgqhUudA,https://www.youtube.com/channel/UCP35x_NL2vkh7PNUgqhUudA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
throneofpages,UCyuNJzAtko2kjOkjuAekw2w,https://www.youtube.com/channel/UCyuNJzAtko2kjOkjuAekw2w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Tristan and the Classics,UCi6NV8iNdtixG7Q2kOzbnnQ,https://www.youtube.com/channel/UCi6NV8iNdtixG7Q2kOzbnnQ,Books & Literature,Books; Reading; Philosophy; Writing,Yes,"Inferred from channel name, recent video titles, and collection context",No
Unsolicited advice,UCW71hQg1kDxmFIfijA8dL0Q,https://www.youtube.com/channel/UCW71hQg1kDxmFIfijA8dL0Q,Books & Literature,Books; Reading; History,Yes,"Inferred from channel name, recent video titles, and collection context",No
Valerie Geary's Book Nook,UCV-w03t5Mjk2DVhvtZ4z9-g,https://www.youtube.com/channel/UCV-w03t5Mjk2DVhvtZ4z9-g,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Yasser Abuelhassab | ياسر أبو الحسب,UCv7Xm42m_99AP_xRPH1H_ZA,https://www.youtube.com/channel/UCv7Xm42m_99AP_xRPH1H_ZA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
Zoë Winter,UCZuNC5BF3v__0NuBpcqAOQA,https://www.youtube.com/channel/UCZuNC5BF3v__0NuBpcqAOQA,Books & Literature,Books; Reading; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
أخضر,UCtUor2SqesPS3b_SMFtLT_w,https://www.youtube.com/channel/UCtUor2SqesPS3b_SMFtLT_w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
أدبيات وأشعار,UCVgHfDdUUpJULxQp63Jmd9w,https://www.youtube.com/channel/UCVgHfDdUUpJULxQp63Jmd9w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
أسمار وأفكار,UCVjBGqx_AuDSHjLxS8t-mSw,https://www.youtube.com/channel/UCVjBGqx_AuDSHjLxS8t-mSw,Books & Literature,Books; Reading; History,Yes,"Inferred from channel name, recent video titles, and collection context",No
أمبيولانص,UCyxFog2shPTW4R9irohYruQ,https://www.youtube.com/channel/UCyxFog2shPTW4R9irohYruQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
أوريليوس - Aurelius,UCQ_jVopUo7MLCOu4dxF6s_Q,https://www.youtube.com/channel/UCQ_jVopUo7MLCOu4dxF6s_Q,Books & Literature,Books; Reading; Philosophy,Yes,"Inferred from channel name, recent video titles, and collection context",No
أيمن العتوم,UCqBrZisk79ExL7MN96bEJxA,https://www.youtube.com/channel/UCqBrZisk79ExL7MN96bEJxA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
إستمع لكتاب,UCaEAbenmnVDJPcogYfS7WbA,https://www.youtube.com/channel/UCaEAbenmnVDJPcogYfS7WbA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
الأمالي,UC1Rf7_9bfaj3upWFLu8Dfnw,https://www.youtube.com/channel/UC1Rf7_9bfaj3upWFLu8Dfnw,Books & Literature,Books; Reading,Yes,"Inferred from channel name, recent video titles, and collection context",No
السارد,UCNq_o_KYalpvB4g6hZW-m4w,https://www.youtube.com/channel/UCNq_o_KYalpvB4g6hZW-m4w,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
الفهرس,UCXBYKrvDF8gBYBVW4BGO8Aw,https://www.youtube.com/channel/UCXBYKrvDF8gBYBVW4BGO8Aw,Books & Literature,Books; Reading; History,Yes,"Inferred from channel name, recent video titles, and collection context",No
القناة الرسمية لتسجيلات الراية,UCrqP9iu0SgqEjQZyuCt8QMA,https://www.youtube.com/channel/UCrqP9iu0SgqEjQZyuCt8QMA,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
الكتاب المرافق,UCBkmNS4BK_BYTvShezBiuZQ,https://www.youtube.com/channel/UCBkmNS4BK_BYTvShezBiuZQ,Books & Literature,,No,"Inferred from channel name, recent video titles, and collection context",No
